                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.2768,                0.51629,                0.31976,                0.91165,                0.98153,                0.99811,                  0.995,                0.98414,                0.98153,                0.99811,                  0.995,                0.96582,                0.23407,                 0.4159,                0.22251,                0.88671,             0.00012872,             0.00012872,             0.00012872
                     52,                0.27633,                0.51921,                0.33548,                0.90798,                0.97811,                0.99591,                  0.995,                0.98229,                0.97811,                0.99591,                  0.995,                0.96537,                0.23392,                0.40838,                0.21478,                0.88726,             0.00012625,             0.00012625,             0.00012625
                     53,                0.28255,                0.52611,                0.31467,                0.90992,                0.98487,                0.99898,                  0.995,                0.98377,                0.98487,                0.99898,                  0.995,                0.96458,                0.22836,                0.41442,                0.22592,                0.88109,             0.00012377,             0.00012377,             0.00012377
                     54,                0.27491,                0.52094,                0.30985,                0.90548,                 0.9771,                0.99953,                  0.995,                0.98317,                 0.9771,                0.99953,                  0.995,                 0.9664,                0.21417,                0.40191,                0.19456,                0.87539,              0.0001213,              0.0001213,              0.0001213
                     55,                0.27064,                0.51979,                0.30399,                0.90514,                0.97631,                      1,                  0.995,                0.98407,                0.97631,                      1,                  0.995,                0.96808,                0.21796,                0.40751,                0.20614,                0.87831,             0.00011883,             0.00011883,             0.00011883
                     56,                0.27408,                0.53273,                0.30956,                0.90482,                0.97974,                0.99255,                  0.995,                0.98556,                0.97974,                0.99255,                  0.995,                0.96709,                0.23845,                0.40879,                0.21466,                0.89899,             0.00011635,             0.00011635,             0.00011635
                     57,                0.27581,                0.53958,                0.30408,                0.90444,                0.98741,                0.99476,                  0.995,                0.98695,                0.98741,                0.99476,                  0.995,                0.96826,                0.21524,                0.40391,                0.20416,                0.87614,             0.00011387,             0.00011387,             0.00011387
                     58,                 0.2708,                0.51679,                0.30102,                0.90554,                0.98065,                0.99849,                  0.995,                0.98529,                0.98065,                0.99849,                  0.995,                0.96713,                0.21818,                0.41049,                0.19928,                0.87569,              0.0001114,              0.0001114,              0.0001114
                     59,                0.27307,                0.52441,                0.30597,                0.90424,                0.97491,                0.99363,                  0.995,                0.98098,                0.97491,                0.99363,                  0.995,                0.96867,                0.22701,                0.40569,                 0.1983,                0.89143,             0.00010893,             0.00010893,             0.00010893
                     60,                0.27556,                0.53187,                0.29085,                0.90563,                0.98491,                0.99674,                  0.995,                0.98373,                0.98491,                0.99674,                  0.995,                0.96429,                0.22002,                0.40343,                0.20298,                 0.8747,             0.00010645,             0.00010645,             0.00010645
                     61,                0.26892,                0.50493,                0.28323,                0.90102,                0.98326,                0.99597,                  0.995,                0.98325,                0.98326,                0.99597,                  0.995,                0.96653,                0.22227,                0.40276,                0.19691,                  0.874,             0.00010398,             0.00010398,             0.00010398
                     62,                0.27356,                0.51615,                  0.297,                 0.9046,                0.98768,                 0.9952,                  0.995,                0.98557,                0.98768,                 0.9952,                  0.995,                0.96531,                0.21517,                0.40812,                0.19814,                0.87533,              0.0001015,              0.0001015,              0.0001015
                     63,                  0.266,                0.49751,                0.28328,                0.90182,                0.98464,                0.99233,                  0.995,                 0.9817,                0.98464,                0.99233,                  0.995,                0.96501,                0.21952,                0.40435,                0.18871,                0.87375,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     64,                0.27194,                0.51845,                0.27558,                0.90846,                0.98346,                      1,                  0.995,                0.98635,                0.98346,                      1,                  0.995,                0.97052,                0.21758,                0.40765,                0.18915,                 0.8783,              9.655e-05,              9.655e-05,              9.655e-05
                     65,                  0.279,                0.51589,                0.28247,                 0.9121,                0.98616,                      1,                  0.995,                0.98522,                0.98616,                      1,                  0.995,                0.96831,                0.21848,                0.40818,                0.19844,                0.87859,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     66,                0.26141,                0.50114,                0.27318,                0.90098,                0.98354,                0.99368,                  0.995,                0.98584,                0.98354,                0.99368,                  0.995,                0.96802,                0.21807,                0.40786,                0.18918,                0.87176,               9.16e-05,               9.16e-05,               9.16e-05
                     67,                0.26118,                0.51564,                0.27652,                0.90024,                0.97518,                0.99309,                  0.995,                0.98416,                0.97518,                0.99309,                  0.995,                0.96729,                0.21815,                0.41013,                0.17872,                0.87404,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     68,                0.27137,                0.50568,                 0.2736,                0.90524,                0.98486,                0.99998,                  0.995,                0.98379,                0.98486,                0.99998,                  0.995,                0.96928,                0.21195,                0.40983,                0.18004,                0.87498,              8.665e-05,              8.665e-05,              8.665e-05
                     69,                0.27806,                0.52083,                0.27838,                0.90862,                0.98775,                      1,                  0.995,                0.98469,                0.98775,                      1,                  0.995,                0.96725,                0.21188,                0.40627,                0.19137,                0.86432,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     70,                0.26499,                0.51029,                0.26872,                0.90162,                0.98443,                0.99658,                  0.995,                0.98705,                0.98443,                0.99658,                  0.995,                0.97008,                0.21393,                0.40241,                0.18039,                0.86742,               8.17e-05,               8.17e-05,               8.17e-05
                     71,                0.26086,                0.50096,                0.26406,                0.90225,                0.98838,                0.98912,                  0.995,                0.98616,                0.98838,                0.98912,                  0.995,                0.96937,                0.21885,                0.40889,                0.17163,                0.87994,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     72,                0.26868,                0.50836,                0.26681,                0.90656,                0.98288,                 0.9987,                  0.995,                0.98447,                0.98288,                 0.9987,                  0.995,                0.96796,                0.21106,                0.39921,                0.17445,                0.86912,              7.675e-05,              7.675e-05,              7.675e-05
                     73,                0.26465,                0.50293,                0.25888,                0.90018,                0.98725,                 0.9988,                  0.995,                0.98556,                0.98725,                 0.9988,                  0.995,                0.96749,                0.20732,                 0.3995,                  0.179,                0.87132,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     74,                0.25921,                0.49835,                0.25544,                0.89871,                0.98393,                0.99952,                  0.995,                0.98766,                0.98393,                0.99952,                  0.995,                0.96842,                0.19938,                0.39533,                0.17378,                0.86358,               7.18e-05,               7.18e-05,               7.18e-05
                     75,                0.26032,                0.50253,                0.25341,                0.89851,                0.98652,                      1,                  0.995,                0.98371,                0.98652,                      1,                  0.995,                0.96762,                0.20207,                 0.4044,                0.16493,                0.86156,             6.9325e-05,             6.9325e-05,             6.9325e-05
